t,r20,rs
2001/6/1,5.07,5.1
2001/7/1,5.03,5.04
2001/8/1,4.81,4.71
2001/9/1,4.93,4.33
2001/10/1,4.8,4.16
2001/11/1,4.51,3.81
2001/12/1,4.75,3.87
2002/1/1,4.81,3.9
2002/2/1,4.83,3.91
2002/3/1,5.11,4.04
2002/4/1,5.13,3.98
2002/5/1,5.18,4.04
2002/6/1,5.02,3.97
2002/7/1,4.9,3.75
2002/8/1,4.64,3.86
2002/9/1,4.45,3.81
2002/10/1,4.59,3.73
2002/11/1,4.64,3.86
2002/12/1,4.62,3.92
2003/1/1,4.44,3.79
2003/2/1,4.39,3.49
2003/3/1,4.54,3.51
2003/4/1,4.67,3.47
2003/5/1,4.46,3.44
2003/6/1,4.39,3.5
2003/7/1,4.65,3.32
2003/8/1,4.68,3.53
2003/9/1,4.76,3.59
2003/10/1,4.88,3.81
2003/11/1,4.95,3.86
2003/12/1,4.83,3.9
2004/1/1,4.75,4
2004/2/1,4.78,4.11
2004/3/1,4.67,4.24
2004/4/1,4.87,4.31
2004/5/1,4.98,4.54
2004/6/1,5,4.65
2004/7/1,4.92,4.8
2004/8/1,4.81,4.77
2004/9/1,4.76,4.73
2004/10/1,4.68,4.73
2004/11/1,4.58,4.69
2004/12/1,4.44,4.75
2005/1/1,4.44,4.71
2005/2/1,4.53,4.79
2005/3/1,4.74,4.82
2005/4/1,4.6,4.75
2005/5/1,4.41,4.7
2005/6/1,4.9,4.57
2005/7/1,4.33,4.48
2005/8/1,4.34,4.43
2005/9/1,4.26,4.45
2005/10/1,4.36,4.47
2005/11/1,4.25,4.46
2005/12/1,4.14,4.48
2006/1/1,3.81,4.45
2006/2/1,3.96,4.44
2006/3/1,4.15,4.47
2006/4/1,4.32,4.5
2006/5/1,4.43,4.56
2006/6/1,4.46,4.59
2006/7/1,4.45,4.63
2006/8/1,4.42,4.82
2006/9/1,4.29,4.93
2006/10/1,4.35,5.04
2006/11/1,4.27,5.11
2006/12/1,4.33,5.17
2007/1/1,4.42,5.44
2007/2/1,4.31,5.39
2007/3/1,4.47,5.42
2007/4/1,4.55,5.54
2007/5/1,4.7,5.67
2007/6/1,4.89,5.79
2007/7/1,4.66,5.83
2007/8/1,4.55,5.83
2007/9/1,4.64,5.72
2007/10/1,4.59,5.65
2007/11/1,4.52,5.51
2007/12/1,4.39,5.31
2008/1/1,4.42,5.07
2008/2/1,4.5,5.43
2008/3/1,4.6,4.83
2008/4/1,4.71,4.61
2008/5/1,4.83,5.06
2008/6/1,4.9,5.24
2008/7/1,4.74,5.15
2008/8/1,4.6,4.99
2008/9/1,4.69,4.56
2008/10/1,4.93,3.51
2008/11/1,4.57,1.69
2008/12/1,4.07,1.24
2009/1/1,4.7,0.91
2009/2/1,4.72,0.66
2009/3/1,4.26,0.62
2009/4/1,4.58,0.57
2009/5/1,4.71,0.53
2009/6/1,4.57,0.5
2009/7/1,4.74,0.44
2009/8/1,4.11,0.38
2009/9/1,4.15,0.39
2009/10/1,4.28,0.46
2009/11/1,4.22,0.46
2009/12/1,4.33,0.49
2010/1/1,4.42,0.49
2010/2/1,4.52,0.48
2010/3/1,4.57,0.51
2010/4/1,4.56,0.5
2010/5/1,4.32,0.5
2010/6/1,4.22,0.49
2010/7/1,4.19,0.5
2010/8/1,4,0.49
2010/9/1,3.91,0.5
2010/10/1,3.89,0.51
2010/11/1,4.13,0.49
2010/12/1,4.27,0.49
2011/1/1,4.33,0.51
2011/2/1,4.41,0.54
2011/3/1,4.3,0.56
2011/4/1,4.29,0.57
2011/5/1,4.14,0.53
2011/6/1,4.13,0.52
2011/7/1,4.1,0.5
2011/8/1,3.73,0.45
2011/9/1,3.42,0.46
2011/10/1,3.25,0.46
2011/11/1,3.02,0.44
2011/12/1,2.98,0.3
2012/1/1,2.9,0.32
2012/2/1,3.1,0.39
2012/3/1,3.19,0.42
2012/4/1,3.14,0.42
2012/5/1,2.92,0.36
2012/6/1,2.74,0.34
2012/7/1,2.65,0.29
2012/8/1,2.65,0.24
2012/9/1,2.75,0.25
2012/10/1,2.8,0.24
2012/11/1,2.79,0.22
2012/12/1,2.84,0.25
2013/1/1,3.12,0.27
2013/2/1,3.23,0.31
2013/3/1,3.07,0.34
2013/4/1,2.78,0.34
2013/5/1,2.92,0.31
2013/6/1,3.16,0.31
2013/7/1,3.27,0.31
2013/8/1,3.41,0.28
2013/9/1,3.47,0.29
2013/10/1,3.32,0.31
2013/11/1,3.4,0.29
2013/12/1,3.5,0.26
2014/1/1,3.43,0.32
2014/2/1,3.37,0.36
2014/3/1,3.35,0.39
2014/4/1,3.31,0.37
2014/5/1,3.24,0.28
2014/6/1,3.31,0.36
